Item,Quantity,Price (USD)
6-inch Power/Data USB-C to A Cable,2,14
Arduino Uno R4 WiFi,1,30
K30 CO2 Sensor,1,85
Header Pins,4,7
Jumper Cables,4,5
High-End 13,400 mAh Battery (Solar Panel Co.),1,71
Possible 20,000 mAh Battery (Consumer Grade),1,21
Anker 20,000 mAh Battery,1,55
Solar Panel (5W–9W),1,35
Solar Panel to USB-C Adapter,1,3
TOTAL,,238.58
